City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,port shepstone,-30.7414,30.455,15.78,48,0,2.99,ZA,1686528282
349,kolondieba,11.0882,-6.8926,24.75,78,94,2.28,ML,1686528573
350,chinchilla,-26.75,150.6333,18.91,60,8,4.4,AU,1686528573
351,al quwayrah,29.8004,35.3116,20.43,44,26,2.04,JO,1686528573
352,chilecito,-29.1619,-67.4974,6.69,40,0,1.42,AR,1686528512
353,wickenburg,33.9686,-112.7296,29.54,22,0,8.08,US,1686528574
354,ingeniero luis a. huergo,-39.0833,-67.2333,4.94,30,0,0.92,AR,1686528574
355,easton,40.6884,-75.2207,28.38,51,0,3.6,US,1686528384
356,holualoa,19.6228,-155.9522,26.91,84,40,4.12,US,1686528575
357,al jawf,29.5,38.75,24.76,35,0,8.74,SA,1686528575
358,qamdo,31.1667,97.2333,2.83,85,100,1.83,CN,1686528575
359,siwa oasis,29.2041,25.5195,27.98,31,10,0.79,EG,1686528576
360,orzysz,53.8097,21.9481,8.44,68,1,2.91,PL,1686528576
361,ungaran,-7.1397,110.405,23.81,89,40,2.06,ID,1686528474
362,kasongo-lunda,-6.4667,16.8167,21.26,95,93,1.1,CD,1686528576
